sfari_humanID,sfari_geneticCategory,sfari_geneScore,sfari_syndromic,sfari_numberReports
ENSG00000150995,Rare Single Gene Mutation,3,0,12
ENSG00000205726,"Rare Single Gene Mutation, Syndromic",2,0,5
ENSG00000008083,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,0,13
ENSG00000171988,Rare Single Gene Mutation,3,0,9
ENSG00000107104,Rare Single Gene Mutation,3,0,10
ENSG00000120071,"Rare Single Gene Mutation, Syndromic, Functional",1,0,6
ENSG00000114166,"Rare Single Gene Mutation, Functional",2,0,8
ENSG00000083168,"Rare Single Gene Mutation, Syndromic, Functional",S,1,21
ENSG00000214753,Rare Single Gene Mutation,S,1,2
ENSG00000017427,"Rare Single Gene Mutation, Functional",3,0,8
ENSG00000156650,"Rare Single Gene Mutation, Syndromic",3,0,6
ENSG00000102781,"Rare Single Gene Mutation, Functional",3,0,2
ENSG00000167216,Rare Single Gene Mutation,1,0,13
ENSG00000158445,"Rare Single Gene Mutation, Syndromic",1,1,14
ENSG00000129159,"Rare Single Gene Mutation, Functional",3,0,6
ENSG00000184408,"Rare Single Gene Mutation, Genetic Association",3,0,7
ENSG00000171385,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,10
ENSG00000177807,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,0,11
ENSG00000157551,Rare Single Gene Mutation,3,0,3
ENSG00000173338,Rare Single Gene Mutation,3,0,2
ENSG00000156113,"Rare Single Gene Mutation, Syndromic",3,0,27
ENSG00000075043,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,0,32
ENSG00000184156,"Rare Single Gene Mutation, Genetic Association",1,0,15
ENSG00000170745,Rare Single Gene Mutation,2,0,4
ENSG00000174943,"Rare Single Gene Mutation, Functional",3,0,8
ENSG00000165097,Rare Single Gene Mutation,3,0,2
ENSG00000120733,"Rare Single Gene Mutation, Syndromic",1,0,2
ENSG00000127663,"Rare Single Gene Mutation, Syndromic, Functional",3,0,5
ENSG00000107077,Rare Single Gene Mutation,2,0,3
ENSG00000117139,"Rare Single Gene Mutation, Syndromic, Functional",1,0,18
ENSG00000126012,"Rare Single Gene Mutation, Syndromic, Functional",1,0,29
ENSG00000147050,"Rare Single Gene Mutation, Syndromic",2,0,8
ENSG00000132510,"Rare Single Gene Mutation, Syndromic",1,0,13
ENSG00000112232,Rare Single Gene Mutation,3,0,3
ENSG00000168116,Rare Single Gene Mutation,2,0,4
ENSG00000197892,Rare Single Gene Mutation,3,0,3
ENSG00000118193,"Rare Single Gene Mutation, Syndromic",2,0,4
ENSG00000168280,"Rare Single Gene Mutation, Syndromic",S,1,10
ENSG00000149571,Rare Single Gene Mutation,2,0,17
ENSG00000129911,Rare Single Gene Mutation,3,0,1
ENSG00000118058,"Rare Single Gene Mutation, Syndromic, Functional",1,1,32
ENSG00000055609,"Rare Single Gene Mutation, Syndromic, Functional",1,1,22
ENSG00000005483,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,13
ENSG00000073614,Rare Single Gene Mutation,2,0,2
ENSG00000170871,Rare Single Gene Mutation,1,0,3
ENSG00000130294,"Rare Single Gene Mutation, Syndromic",S,1,7
ENSG00000113889,Rare Single Gene Mutation,3,0,1
ENSG00000118162,"Rare Single Gene Mutation, Syndromic",S,1,6
ENSG00000111615,"Rare Single Gene Mutation, Genetic Association",3,0,2
ENSG00000186393,Rare Single Gene Mutation,3,0,2
ENSG00000101680,"Rare Single Gene Mutation, Genetic Association",3,0,8
ENSG00000091136,"Rare Single Gene Mutation, Genetic Association",2,0,7
ENSG00000166477,Rare Single Gene Mutation,2,0,4
ENSG00000174697,Rare Single Gene Mutation,3,0,1
ENSG00000131042,Rare Single Gene Mutation,3,0,2
ENSG00000104863,Rare Single Gene Mutation,3,0,2
ENSG00000136944,Genetic Association,2,0,1
ENSG00000110066,"Rare Single Gene Mutation, Syndromic, Functional",1,0,16
ENSG00000198589,Rare Single Gene Mutation,3,0,6
ENSG00000156564,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,4
ENSG00000165379,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000123384,Rare Single Gene Mutation,2,0,5
ENSG00000081479,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,15
ENSG00000137269,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000128594,"Rare Single Gene Mutation, Functional",3,0,3
ENSG00000099949,"Rare Single Gene Mutation, Syndromic",1,0,13
ENSG00000107816,Genetic Association,3,0,4
ENSG00000172264,"Rare Single Gene Mutation, Genetic Association",2,0,20
ENSG00000144320,Syndromic,S,1,1
ENSG00000088970,"Genetic Association, Functional",3,0,2
ENSG00000001497,"Rare Single Gene Mutation, Syndromic",3,0,5
ENSG00000198728,Rare Single Gene Mutation,1,0,2
ENSG00000130164,Rare Single Gene Mutation,3,0,1
ENSG00000148948,Rare Single Gene Mutation,1,0,2
ENSG00000254585,"Rare Single Gene Mutation, Syndromic, Functional",1,1,20
ENSG00000189221,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",3,0,17
ENSG00000069535,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,5
ENSG00000166963,Rare Single Gene Mutation,1,0,3
ENSG00000102882,"Rare Single Gene Mutation, Functional",3,0,6
ENSG00000116141,"Rare Single Gene Mutation, Genetic Association",3,0,10
ENSG00000141644,Rare Single Gene Mutation,3,0,8
ENSG00000071655,Rare Single Gene Mutation,3,0,4
ENSG00000129071,Rare Single Gene Mutation,3,0,7
ENSG00000204406,"Rare Single Gene Mutation, Syndromic, Functional",1,1,39
ENSG00000166987,Rare Single Gene Mutation,3,0,2
ENSG00000125505,"Rare Single Gene Mutation, Syndromic",1,1,12
ENSG00000104738,Rare Single Gene Mutation,3,0,2
ENSG00000076003,Rare Single Gene Mutation,3,0,2
ENSG00000147316,Rare Single Gene Mutation,3,0,16
ENSG00000139915,"Rare Single Gene Mutation, Genetic Association",3,0,9
ENSG00000169057,"Rare Single Gene Mutation, Syndromic, Functional",1,1,95
ENSG00000144893,"Rare Single Gene Mutation, Syndromic",S,1,4
ENSG00000108510,"Rare Single Gene Mutation, Syndromic",1,1,4
ENSG00000123066,"Rare Single Gene Mutation, Syndromic",1,1,38
ENSG00000081189,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,1,43
ENSG00000145794,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000157890,Rare Single Gene Mutation,3,0,5
ENSG00000134138,"Rare Single Gene Mutation, Syndromic",1,1,10
ENSG00000162959,"Rare Single Gene Mutation, Functional",3,0,2
,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,39
ENSG00000235718,Rare Single Gene Mutation,2,0,6
ENSG00000101752,Rare Single Gene Mutation,3,0,8
ENSG00000120215,Rare Single Gene Mutation,3,0,3
ENSG00000120458,Rare Single Gene Mutation,3,0,1
ENSG00000038945,Rare Single Gene Mutation,3,0,4
ENSG00000188786,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,5
ENSG00000177000,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,18
ENSG00000130731,Rare Single Gene Mutation,3,0,2
,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,0,10
ENSG00000186260,"Rare Single Gene Mutation, Genetic Association",3,0,10
ENSG00000150051,Rare Single Gene Mutation,1,0,2
ENSG00000070444,Genetic Association,3,0,1
ENSG00000005302,"Rare Single Gene Mutation, Syndromic",1,0,6
,"Genetic Association, Functional",2,0,13
ENSG00000120149,"Rare Single Gene Mutation, Syndromic",3,0,2
ENSG00000198793,"Rare Single Gene Mutation, Syndromic, Functional",1,1,24
ENSG00000205277,Rare Single Gene Mutation,3,0,2
ENSG00000145113,Rare Single Gene Mutation,3,0,7
ENSG00000133026,Rare Single Gene Mutation,2,0,5
ENSG00000264424,Rare Single Gene Mutation,3,0,5
ENSG00000041515,"Rare Single Gene Mutation, Genetic Association",3,0,8
ENSG00000157483,Rare Single Gene Mutation,3,0,4
ENSG00000197535,"Rare Single Gene Mutation, Genetic Association",2,0,5
ENSG00000128833,Rare Single Gene Mutation,3,0,3
ENSG00000099331,Rare Single Gene Mutation,2,0,4
ENSG00000186487,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,26
ENSG00000164134,"Rare Single Gene Mutation, Syndromic",1,1,14
ENSG00000177694,"Rare Single Gene Mutation, Genetic Association",3,0,2
ENSG00000160877,"Rare Single Gene Mutation, Syndromic",S,1,8
ENSG00000166833,Rare Single Gene Mutation,2,0,9
ENSG00000172915,"Rare Single Gene Mutation, Syndromic, Functional",1,1,21
ENSG00000061676,"Rare Single Gene Mutation, Syndromic",1,0,12
ENSG00000176771,Rare Single Gene Mutation,3,0,1
ENSG00000141027,"Rare Single Gene Mutation, Functional",2,0,7
ENSG00000128609,Genetic Association,3,0,3
ENSG00000172260,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,6
ENSG00000067141,,3,0,1
ENSG00000050030,"Rare Single Gene Mutation, Syndromic, Functional",1,0,27
ENSG00000196712,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,1,26
ENSG00000050344,Rare Single Gene Mutation,2,0,3
ENSG00000162599,Rare Single Gene Mutation,3,0,13
ENSG00000147862,"Rare Single Gene Mutation, Syndromic",S,1,5
ENSG00000008441,"Rare Single Gene Mutation, Syndromic",S,1,11
ENSG00000101004,Rare Single Gene Mutation,2,0,6
ENSG00000170113,Rare Single Gene Mutation,3,0,5
ENSG00000140157,Rare Single Gene Mutation,3,0,2
ENSG00000164190,"Rare Single Gene Mutation, Syndromic",1,1,14
ENSG00000169760,"Rare Single Gene Mutation, Genetic Association",2,0,19
ENSG00000186868,"Genetic Association, Functional",3,0,3
,Genetic Association,2,0,1
ENSG00000175806,"Genetic Association, Functional",3,0,11
ENSG00000100345,Rare Single Gene Mutation,2,0,5
ENSG00000065534,Rare Single Gene Mutation,3,0,2
ENSG00000141052,Rare Single Gene Mutation,3,0,2
ENSG00000025770,Rare Single Gene Mutation,3,0,1
ENSG00000084676,Rare Single Gene Mutation,1,0,2
ENSG00000125820,"Genetic Association, Functional",3,0,2
ENSG00000169992,"Rare Single Gene Mutation, Functional",1,0,8
ENSG00000196338,"Rare Single Gene Mutation, Functional",1,0,37
ENSG00000146938,"Rare Single Gene Mutation, Genetic Association",1,0,36
ENSG00000165246,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,5
ENSG00000126368,Rare Single Gene Mutation,3,0,3
ENSG00000175745,"Rare Single Gene Mutation, Syndromic, Functional",S,1,21
ENSG00000151623,"Rare Single Gene Mutation, Syndromic",1,0,9
ENSG00000153234,"Rare Single Gene Mutation, Syndromic",1,0,8
ENSG00000091129,"Rare Single Gene Mutation, Genetic Association",3,0,5
ENSG00000118257,"Rare Single Gene Mutation, Genetic Association",3,0,8
ENSG00000179915,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,98
ENSG00000110076,"Rare Single Gene Mutation, Genetic Association",1,0,12
ENSG00000021645,"Rare Single Gene Mutation, Genetic Association, Functional",1,0,19
ENSG00000165671,"Rare Single Gene Mutation, Syndromic",1,1,22
ENSG00000162631,"Rare Single Gene Mutation, Syndromic, Genetic Association",S,1,8
ENSG00000196358,Syndromic,S,1,3
ENSG00000198400,"Rare Single Gene Mutation, Syndromic",3,0,8
ENSG00000148053,Syndromic,S,1,4
ENSG00000140538,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,14
ENSG00000185115,Functional,3,0,3
ENSG00000074590,"Rare Single Gene Mutation, Functional",2,0,6
ENSG00000170584,Rare Single Gene Mutation,2,0,3
ENSG00000069248,Rare Single Gene Mutation,3,0,4
ENSG00000122584,Rare Single Gene Mutation,3,0,5
ENSG00000122126,"Rare Single Gene Mutation, Syndromic",S,1,8
ENSG00000181781,Rare Single Gene Mutation,3,0,1
ENSG00000046651,Rare Single Gene Mutation,3,0,3
ENSG00000079482,"Rare Single Gene Mutation, Syndromic",2,0,16
ENSG00000221888,Rare Single Gene Mutation,3,0,3
ENSG00000184022,Rare Single Gene Mutation,3,0,3
ENSG00000197790,Rare Single Gene Mutation,2,0,2
ENSG00000169918,"Rare Single Gene Mutation, Functional",2,0,4
ENSG00000101405,"Rare Single Gene Mutation, Genetic Association",3,0,5
ENSG00000180914,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,48
ENSG00000083454,Rare Single Gene Mutation,2,0,4
ENSG00000072682,Rare Single Gene Mutation,2,0,4
ENSG00000175115,"Rare Single Gene Mutation, Syndromic",1,1,9
ENSG00000179364,"Rare Single Gene Mutation, Syndromic",S,1,6
ENSG00000168092,Rare Single Gene Mutation,3,0,3
ENSG00000171759,"Rare Single Gene Mutation, Syndromic",1,0,7
ENSG00000149269,"Rare Single Gene Mutation, Syndromic",S,1,5
ENSG00000180370,"Rare Single Gene Mutation, Syndromic",2,0,5
ENSG00000115421,Rare Single Gene Mutation,3,0,4
ENSG00000116117,"Rare Single Gene Mutation, Genetic Association",2,0,8
ENSG00000196092,Rare Single Gene Mutation,1,0,8
ENSG00000007372,"Rare Single Gene Mutation, Syndromic, Functional",S,1,7
ENSG00000132849,"Rare Single Gene Mutation, Genetic Association",3,0,4
ENSG00000104967,Syndromic,S,1,1
ENSG00000185630,Rare Single Gene Mutation,3,0,5
ENSG00000175198,"Rare Single Gene Mutation, Syndromic",S,1,10
ENSG00000114054,"Rare Single Gene Mutation, Syndromic",S,1,9
ENSG00000138650,Rare Single Gene Mutation,3,0,8
ENSG00000102290,Rare Single Gene Mutation,3,0,2
ENSG00000150275,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,6
ENSG00000165194,"Rare Single Gene Mutation, Syndromic, Functional",1,1,43
ENSG00000109685,"Rare Single Gene Mutation, Syndromic",S,1,10
ENSG00000170485,Genetic Association,3,0,4
ENSG00000113569,Rare Single Gene Mutation,1,0,2
ENSG00000162231,Rare Single Gene Mutation,3,0,1
ENSG00000171180,Genetic Association,3,0,1
ENSG00000115507,Genetic Association,3,0,3
ENSG00000184226,"Rare Single Gene Mutation, Genetic Association",3,0,7
ENSG00000204970,"Rare Single Gene Mutation, Genetic Association",3,0,3
ENSG00000250120,"Rare Single Gene Mutation, Genetic Association",3,0,4
ENSG00000249158,"Rare Single Gene Mutation, Genetic Association",3,0,5
ENSG00000251664,"Rare Single Gene Mutation, Genetic Association",3,0,3
ENSG00000239389,"Rare Single Gene Mutation, Genetic Association",3,0,4
ENSG00000204969,"Rare Single Gene Mutation, Genetic Association",3,0,5
ENSG00000255408,"Rare Single Gene Mutation, Genetic Association",3,0,4
ENSG00000204967,"Rare Single Gene Mutation, Genetic Association",3,0,4
ENSG00000204965,"Rare Single Gene Mutation, Genetic Association",3,0,5
ENSG00000081842,"Rare Single Gene Mutation, Genetic Association",3,0,3
ENSG00000204963,"Rare Single Gene Mutation, Genetic Association",3,0,5
ENSG00000204962,"Rare Single Gene Mutation, Genetic Association",3,0,4
ENSG00000204961,"Rare Single Gene Mutation, Genetic Association",3,0,4
ENSG00000248383,"Rare Single Gene Mutation, Genetic Association",3,0,3
ENSG00000243232,Genetic Association,3,0,3
ENSG00000078674,Rare Single Gene Mutation,3,0,3
ENSG00000188389,Rare Single Gene Mutation,3,0,3
ENSG00000154678,"Rare Single Gene Mutation, Genetic Association",3,0,3
ENSG00000005882,Rare Single Gene Mutation,3,0,4
ENSG00000179094,"Rare Single Gene Mutation, Genetic Association",3,0,7
ENSG00000132326,Rare Single Gene Mutation,2,0,5
ENSG00000112357,"Rare Single Gene Mutation, Genetic Association",3,0,4
ENSG00000197724,Rare Single Gene Mutation,1,0,7
ENSG00000135365,"Rare Single Gene Mutation, Syndromic",1,1,12
ENSG00000118482,Rare Single Gene Mutation,1,0,4
ENSG00000172943,"Rare Single Gene Mutation, Syndromic",S,1,11
ENSG00000146247,"Rare Single Gene Mutation, Syndromic",1,1,15
ENSG00000134020,Rare Single Gene Mutation,3,0,1
ENSG00000109118,Rare Single Gene Mutation,1,0,3
ENSG00000010318,Rare Single Gene Mutation,2,0,3
ENSG00000070047,Rare Single Gene Mutation,2,0,4
ENSG00000121879,"Rare Single Gene Mutation, Syndromic",3,0,6
ENSG00000105851,Genetic Association,3,0,4
ENSG00000105647,"Rare Single Gene Mutation, Syndromic",S,1,6
ENSG00000069011,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000181191,Syndromic,3,0,1
ENSG00000011422,"Rare Single Gene Mutation, Genetic Association",3,0,2
ENSG00000182621,Rare Single Gene Mutation,2,0,7
ENSG00000115556,Rare Single Gene Mutation,3,0,3
ENSG00000198523,Rare Single Gene Mutation,3,0,4
ENSG00000130827,"Rare Single Gene Mutation, Syndromic",3,0,7
ENSG00000221866,"Rare Single Gene Mutation, Functional",2,0,5
ENSG00000164050,Rare Single Gene Mutation,2,0,3
ENSG00000130653,Rare Single Gene Mutation,3,0,3
ENSG00000143442,"Rare Single Gene Mutation, Syndromic, Functional",1,1,44
ENSG00000014138,Rare Single Gene Mutation,3,0,2
ENSG00000085998,"Rare Single Gene Mutation, Syndromic",1,1,6
ENSG00000130714,Rare Single Gene Mutation,3,0,3
ENSG00000128513,Rare Single Gene Mutation,3,0,1
ENSG00000198914,Syndromic,S,1,1
ENSG00000131626,Rare Single Gene Mutation,3,0,3
ENSG00000170836,"Rare Single Gene Mutation, Syndromic",S,1,7
ENSG00000113575,"Rare Single Gene Mutation, Syndromic",S,1,2
ENSG00000137713,Rare Single Gene Mutation,3,0,7
ENSG00000112640,"Rare Single Gene Mutation, Syndromic",1,1,20
ENSG00000124126,"Rare Single Gene Mutation, Genetic Association",2,0,3
ENSG00000139174,"Rare Single Gene Mutation, Syndromic, Functional",2,0,5
ENSG00000163637,"Rare Single Gene Mutation, Functional",2,0,5
ENSG00000188191,"Rare Single Gene Mutation, Syndromic",3,0,5
ENSG00000154229,Rare Single Gene Mutation,3,0,4
ENSG00000166501,"Rare Single Gene Mutation, Genetic Association",2,0,7
ENSG00000184304,"Rare Single Gene Mutation, Syndromic",S,1,4
ENSG00000105287,Rare Single Gene Mutation,2,0,3
ENSG00000253729,"Rare Single Gene Mutation, Syndromic, Functional",3,0,6
ENSG00000100033,"Syndromic, Genetic Association",S,1,6
ENSG00000185246,Rare Single Gene Mutation,3,0,3
ENSG00000126464,"Rare Single Gene Mutation, Syndromic",S,1,5
ENSG00000106772,"Rare Single Gene Mutation, Syndromic",3,0,9
ENSG00000185345,"Rare Single Gene Mutation, Genetic Association",2,0,15
ENSG00000156011,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000197170,Syndromic,1,1,3
ENSG00000117569,"Rare Single Gene Mutation, Genetic Association",3,0,5
ENSG00000165186,"Rare Single Gene Mutation, Genetic Association",1,0,13
ENSG00000171862,"Rare Single Gene Mutation, Syndromic, Functional",1,1,68
,Rare Single Gene Mutation,2,0,3
ENSG00000148606,"Rare Single Gene Mutation, Syndromic",S,1,8
ENSG00000005421,Genetic Association,2,0,5
ENSG00000108819,Rare Single Gene Mutation,1,0,2
ENSG00000138814,"Rare Single Gene Mutation, Syndromic",S,1,9
ENSG00000011485,Rare Single Gene Mutation,1,0,2
ENSG00000073756,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,7
ENSG00000112655,Rare Single Gene Mutation,1,0,5
ENSG00000179295,"Rare Single Gene Mutation, Syndromic, Functional",1,1,20
ENSG00000127329,"Rare Single Gene Mutation, Genetic Association",3,0,3
ENSG00000081237,"Rare Single Gene Mutation, Genetic Association",3,0,9
ENSG00000196090,"Rare Single Gene Mutation, Functional",3,0,9
ENSG00000130508,"Rare Single Gene Mutation, Syndromic",3,0,6
ENSG00000163564,Rare Single Gene Mutation,2,0,4
ENSG00000198218,"Rare Single Gene Mutation, Syndromic",2,0,11
ENSG00000131771,Genetic Association,3,0,1
ENSG00000135631,"Rare Single Gene Mutation, Functional",3,0,6
ENSG00000104388,Rare Single Gene Mutation,2,0,8
ENSG00000155961,"Rare Single Gene Mutation, Syndromic, Functional",3,0,15
ENSG00000172780,Rare Single Gene Mutation,2,0,2
ENSG00000136238,"Syndromic, Functional",S,1,5
ENSG00000164754,Syndromic,S,1,4
ENSG00000244588,Rare Single Gene Mutation,3,0,2
ENSG00000108557,"Rare Single Gene Mutation, Syndromic, Functional",1,1,26
ENSG00000006451,"Rare Single Gene Mutation, Syndromic",S,1,4
ENSG00000170471,Rare Single Gene Mutation,1,0,5
ENSG00000204764,Rare Single Gene Mutation,2,0,6
ENSG00000091428,Rare Single Gene Mutation,3,0,17
ENSG00000266094,"Rare Single Gene Mutation, Genetic Association",3,0,3
ENSG00000078328,"Rare Single Gene Mutation, Genetic Association",2,0,38
ENSG00000091009,Rare Single Gene Mutation,2,0,3
ENSG00000165476,Rare Single Gene Mutation,3,0,3
ENSG00000189056,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,56
ENSG00000142599,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,1,7
ENSG00000080298,"Rare Single Gene Mutation, Syndromic",1,0,8
ENSG00000111783,"Rare Single Gene Mutation, Syndromic",S,1,2
ENSG00000182901,Rare Single Gene Mutation,3,0,6
ENSG00000106615,Syndromic,S,1,1
ENSG00000079841,"Rare Single Gene Mutation, Genetic Association",1,0,8
ENSG00000117016,Rare Single Gene Mutation,3,0,4
ENSG00000131263,"Rare Single Gene Mutation, Syndromic",S,1,5
ENSG00000181481,"Rare Single Gene Mutation, Syndromic, Genetic Association",S,1,4
ENSG00000163481,Rare Single Gene Mutation,3,0,2
ENSG00000137075,Rare Single Gene Mutation,3,0,2
ENSG00000185008,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,8
ENSG00000069667,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",S,1,18
ENSG00000198963,"Rare Single Gene Mutation, Syndromic, Functional",1,0,9
ENSG00000147403,"Rare Single Gene Mutation, Syndromic",3,0,13
ENSG00000071242,Rare Single Gene Mutation,3,0,4
ENSG00000177189,"Rare Single Gene Mutation, Syndromic",S,1,13
ENSG00000142230,Rare Single Gene Mutation,2,0,3
ENSG00000187634,Rare Single Gene Mutation,3,0,2
ENSG00000111961,Rare Single Gene Mutation,3,0,2
ENSG00000119042,"Rare Single Gene Mutation, Syndromic, Genetic Association",S,1,37
,Rare Single Gene Mutation,3,0,1
ENSG00000100241,Rare Single Gene Mutation,2,0,9
ENSG00000184178,Rare Single Gene Mutation,3,0,2
ENSG00000144285,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,1,72
ENSG00000136531,"Rare Single Gene Mutation, Syndromic, Functional",1,0,83
ENSG00000181827,"Rare Single Gene Mutation, Syndromic",S,1,3
ENSG00000176406,"Rare Single Gene Mutation, Syndromic, Genetic Association",S,1,3
ENSG00000174891,"Syndromic, Genetic Association",S,1,7
ENSG00000182568,"Rare Single Gene Mutation, Syndromic",1,0,4
ENSG00000156304,"Rare Single Gene Mutation, Syndromic",2,0,3
ENSG00000007314,Rare Single Gene Mutation,3,0,4
ENSG00000196876,"Rare Single Gene Mutation, Syndromic",1,0,44
ENSG00000169432,Rare Single Gene Mutation,2,0,5
ENSG00000116171,Rare Single Gene Mutation,3,0,2
ENSG00000169439,"Rare Single Gene Mutation, Genetic Association",3,0,4
ENSG00000112902,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,17
ENSG00000119335,Rare Single Gene Mutation,2,0,5
ENSG00000152217,"Rare Single Gene Mutation, Syndromic",1,0,21
ENSG00000139718,"Rare Single Gene Mutation, Syndromic, Functional",S,1,14
ENSG00000181555,"Rare Single Gene Mutation, Syndromic",1,0,16
ENSG00000168137,"Rare Single Gene Mutation, Syndromic",1,1,29
ENSG00000143379,Rare Single Gene Mutation,3,0,4
ENSG00000136169,"Rare Single Gene Mutation, Syndromic",3,0,2
ENSG00000174938,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000115524,Rare Single Gene Mutation,3,0,5
ENSG00000181523,"Rare Single Gene Mutation, Syndromic",S,1,6
ENSG00000100359,Rare Single Gene Mutation,3,0,5
ENSG00000172985,Rare Single Gene Mutation,3,0,3
ENSG00000161681,"Rare Single Gene Mutation, Genetic Association",2,0,9
ENSG00000162105,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,41
ENSG00000101883,Genetic Association,3,0,3
ENSG00000099381,"Rare Single Gene Mutation, Syndromic",S,1,3
ENSG00000251322,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,1,107
ENSG00000152214,Genetic Association,3,0,3
ENSG00000106366,Genetic Association,3,0,2
ENSG00000185960,Rare Single Gene Mutation,2,0,2
ENSG00000142178,"Rare Single Gene Mutation, Syndromic, Functional",S,1,6
ENSG00000169375,"Rare Single Gene Mutation, Syndromic",1,1,14
ENSG00000124140,Rare Single Gene Mutation,2,0,6
ENSG00000106688,"Rare Single Gene Mutation, Genetic Association",3,0,12
ENSG00000110436,"Rare Single Gene Mutation, Genetic Association, Functional",S,1,7
ENSG00000163393,Genetic Association,3,0,1
ENSG00000149742,Rare Single Gene Mutation,3,0,4
ENSG00000155886,Rare Single Gene Mutation,3,0,3
,"Genetic Association, Functional",2,0,4
ENSG00000127511,"Rare Single Gene Mutation, Syndromic",S,1,4
ENSG00000157933,Rare Single Gene Mutation,1,0,3
ENSG00000115840,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",3,0,24
ENSG00000153291,Genetic Association,3,0,1
ENSG00000013306,Rare Single Gene Mutation,3,0,3
ENSG00000167114,"Rare Single Gene Mutation, Syndromic",3,0,2
ENSG00000164638,Rare Single Gene Mutation,3,0,1
ENSG00000121073,Genetic Association,2,0,1
ENSG00000157637,Rare Single Gene Mutation,2,0,2
ENSG00000162426,"Rare Single Gene Mutation, Syndromic",S,1,3
ENSG00000144290,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000157103,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,1,39
ENSG00000142319,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,0,16
ENSG00000108576,"Rare Single Gene Mutation, Genetic Association",3,0,26
ENSG00000130821,"Rare Single Gene Mutation, Syndromic",3,0,17
ENSG00000165349,Rare Single Gene Mutation,2,0,2
ENSG00000103257,"Rare Single Gene Mutation, Functional",2,0,4
ENSG00000155465,Rare Single Gene Mutation,3,0,3
ENSG00000198689,"Rare Single Gene Mutation, Syndromic, Functional",1,1,19
ENSG00000181804,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,13
ENSG00000111700,Rare Single Gene Mutation,3,0,4
ENSG00000165300,"Rare Single Gene Mutation, Functional",2,0,9
ENSG00000141646,Rare Single Gene Mutation,2,0,7
ENSG00000080503,"Rare Single Gene Mutation, Syndromic, Genetic Association",S,1,22
ENSG00000127616,"Rare Single Gene Mutation, Syndromic",1,0,13
ENSG00000139613,"Rare Single Gene Mutation, Syndromic, Functional",1,1,14
ENSG00000072501,"Rare Single Gene Mutation, Syndromic",S,1,10
ENSG00000108055,"Rare Single Gene Mutation, Syndromic",S,1,10
ENSG00000070366,Rare Single Gene Mutation,3,0,2
ENSG00000198742,Rare Single Gene Mutation,3,0,2
ENSG00000132639,"Rare Single Gene Mutation, Genetic Association",3,0,7
ENSG00000197157,"Rare Single Gene Mutation, Genetic Association",3,0,8
ENSG00000172554,Rare Single Gene Mutation,3,0,6
ENSG00000135317,"Rare Single Gene Mutation, Syndromic",S,1,7
ENSG00000089006,Rare Single Gene Mutation,2,0,3
ENSG00000142168,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,3
ENSG00000159140,"Rare Single Gene Mutation, Syndromic, Functional",1,0,16
ENSG00000134532,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,1,14
