"refseq"	"group"
"NM_001293800"	"Enriched"
"NM_029865"	"Enriched"
"NM_029865"	"Enriched"
"NM_029865"	"Enriched"
"NM_001293800"	"Enriched"
"NM_001293800"	"Enriched"
"NM_001293800"	"Enriched"
"NM_029865"	"Enriched"
"NM_029865"	"Enriched"
"NM_029865"	"Enriched"
"NM_001141965"	"Enriched"
"NM_001141965"	"Enriched"
"NM_001141965"	"Enriched"
"NM_026425"	"Enriched"
"NM_026425"	"Enriched"
"NM_026425"	"Enriched"
"NM_001141965"	"Enriched"
"NM_001141965"	"Enriched"
"NM_001141965"	"Enriched"
"NM_026425"	"Enriched"
"NM_026425"	"Enriched"
"NM_026425"	"Enriched"
"NM_001141965"	"Enriched"
"NM_001141965"	"Enriched"
"NM_001141965"	"Enriched"
"NM_026425"	"Enriched"
"NM_026425"	"Enriched"
"NM_026425"	"Enriched"
"NM_001141965"	"Enriched"
"NM_001141965"	"Enriched"
"NM_001141965"	"Enriched"
"NM_026425"	"Enriched"
"NM_026425"	"Enriched"
"NM_026425"	"Enriched"
"NM_001347342"	"Depleted"
"NM_001347342"	"Depleted"
"NM_001347342"	"Depleted"
"NM_001347342"	"Depleted"
"NM_011630"	"Depleted"
"NM_011630"	"Depleted"
"NM_011630"	"Depleted"
"NM_011630"	"Depleted"
"NM_011630"	"Depleted"
"NM_001347342"	"Depleted"
"NM_001347342"	"Depleted"
"NM_001347342"	"Depleted"
"NM_001347342"	"Depleted"
"NM_011630"	"Depleted"
"NM_011630"	"Depleted"
"NM_011630"	"Depleted"
"NM_011630"	"Depleted"
"NM_011630"	"Depleted"
"NM_001347342"	"Depleted"
"NM_001347342"	"Depleted"
"NM_001347342"	"Depleted"
"NM_001347342"	"Depleted"
"NM_011630"	"Depleted"
"NM_011630"	"Depleted"
"NM_011630"	"Depleted"
"NM_011630"	"Depleted"
"NM_011630"	"Depleted"
"NM_001277231"	"Depleted"
"NM_001277231"	"Depleted"
"NM_007764"	"Depleted"
